Which member of the 2002 Buccaneers most recently got into the Hall of Fame?,Ronde Barber,Derrick Brooks,John Lynch,Warren Sapp,Ronde Barber,Barber joined his former teammates in the HoF in 2023 as the fourth member of the Bucs Super Bowl winning defense of 2002.
"Which quarterback was known as ""Broadway Joe""?",Joe Flacco,Joe Namath,Joe Montana,Joe Theismann,Joe Namath,"Namath was an iconic figure in his time, and enjoyed the lavish lifestyle his fame and fortune made available to him in New York."
Who was the first draft pick in Houston Texans history?,David Carr,Andre Johnson,JJ Watt,Mario Williams,David Carr,The Texans selected Carr with the 1st overall in the 2002 draft. The Panthers then took Julius Peppers with the 2nd pick.
"Which former player is known as ""Prime Time""?",Randy Moss,Deion Sanders,OJ Simpson,Michael Vick,Deion Sanders,"Sanders has embraced the nickname that has followed him since high school. In 1994 he even released a rap album titled ""Prime Time""."
How big was the lead the Falcons blew in Super Bowl LI?,21 points,24 points,25 points,28 points,25 points,Tom Brady led the Patriots back from a seemingly impossible 28-3 deficit to ultimately win the game 34-28 in overtime.
Which Raven missed his entire rookie year after falling down two flights of stairs? ,Dan Cody,Terrence Cody,Sergio Kindle,Dennis Pitta,Sergio Kindle,The 2nd round pick fractured his skull in the accident in 2010 and didn't play his first game until 18 months after he was drafted.
Which team did Josh McCown not play for during his career,Chicago Bears,Arizona Cardinals,Philadelphia Eagles,New Orleans Saints,New Orleans Saints,"McCown was a member of 12 NFL teams during his playing career, but (unlike his little brother Luke) the quarterback was never a Saint."
Which team did Ryan Fitzpatrick not play for during his career?,Chicago Bears,Cincinnati Bengals,Houston Texans,Tennessee Titans,Chicago Bears,"In his career, the journeyman quarterback had 9 teams – but the Bears weren't one."
"Which former player nicknamed himself the ""Amish Rifle""?",Ryan Fitzpatrick,Andrew Luck,Jim McMahon,Kurt Warner,Ryan Fitzpatrick,"The Amish Rifle was perhaps more regularly known as FitzMagic or FitzTragic, depending on the week or the season in question."
How many quarterbacks were selected in the top 10 of the 2018 draft?,0,2,4,6,4,"Out of Baker Mayfield (1st), Sam Darnold (3rd), Josh Allen (7th) and Josh Rosen (10th), only Allen remains with the team that drafted him."
Which team represented Baltimore from 1953 to 1983?,The Bandits,The Browns,The Colts,The Ravens,The Colts,Former owner Jim Irsay moved the Colts franchise from Baltimore to Indianapolis in the middle of the night in March of 1984.
"Which teams fans are known as the ""Dawg Pound""?",Cleveland Browns,New York Giants,Las Vegas Raiders,New Orleans Saints,Cleveland Browns,"More accurately, the Dawg Pound is the name of the bleacher section behind Cleveland Browns Stadium's east end zone."
"Which team is known as the ""Green Gang""?",Philadelphia Eagles,New York Jets,Green Bay Packers,Seattle Seahawks,New York Jets,"The Jets' team colors are officially called Gotham green, spotlight white and stealth black."
"Which player was known as ""Muscle Hamster""?",Casey Hampton,Maurice Jones-Drew,Doug Martin,Sam Mills,Doug Martin,"Standing at 5'9"" but at times weighing in at over 220 pounds, Muscle Hamster certainly packed a punch."
Which NFL team has Pete Carroll not coached?,New York Jets,New England Patriots,Los Angeles Rams,Seattle Seahawks,Los Angeles Rams,"Carroll did work in Los Angeles from 2001 to 2009, but as the head coach of college football's USC Trojans."
Who was the MVP of Super Bowl XLVIII?,Percy Harvin,Kam Chancellor,Malcolm Smith,Russell Wilson,Malcolm Smith,Smith had a 69-yard pick-six and he also recovered a fumble as the Seahawks stomped the Broncos 43-8.
Who played the entire 2017 AFC Championship game with a torn ACL?,Tom Brady,Philip Rivers,Ben Roethlisberger,LaDainian Tomlinson,Philip Rivers,"Rivers gutted it out, but the Chargers ultimately got eliminated by the Patriots for the second year in a row."
Which team plays its games at the league's northern-most stadium?,Buffalo Bills,New England Patriots,Seattle Seahawks,Minnesota Vikings,Seattle Seahawks,"This may feel like a trick question, as Lumen Field rarely sees similar extreme weather as some of the other northern stadiums."
Who was the Patriots starting quarterback before Tom Brady?,Drew Bledsoe,Matt Cassel,Doug Flutie,Drew Henson,Drew Bledsoe,"Months after signing a 100 million dollar extension, Bledsoe got injured in week 2 of the 2001 season. He never got back his job as starter."
Who has played the most games in NFL history?,Morten Andersen,Tom Brady,Brett Favre,Adam Vinatieri,Morten Andersen,"The kicker originally from Denmark played in the NFL from 1982 to 2007. He officially retired in 2008, at the seasoned age of 47."
Who was the first head coach in Houston Texans history?,Dom Capers,Gary Kubiak,Bill O'Brien,Jack Del Rio,Dom Capers,"Capers lasted in Houston for four seasons, but did not have a winning record in any of them, going 18-46 overall."
